,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Miip,-0.75486089,7.671607073,-4.464199015,2.69873520191462e-05,0.002823779,2.382465206,P30,MUT cells from HET vs WT cells from WT,Miip
Mitf,-0.754294939,8.061222824,-2.49543594,0.014710861,0.080746766,-3.022538703,P30,MUT cells from HET vs WT cells from WT,Mitf
Ankrd33b,-0.753841322,7.785277479,-2.921418474,0.004565646,0.039177805,-2.115913885,P30,MUT cells from HET vs WT cells from WT,Ankrd33b
Plgrkt,-0.750653663,7.66435426,-3.994188179,0.000146872,0.00504014,0.860735465,P30,MUT cells from HET vs WT cells from WT,Plgrkt
Klf13,-0.750197658,7.564376987,-3.533271874,0.000696218,0.012612352,-0.54702173,P30,MUT cells from HET vs WT cells from WT,Klf13
Vps26b,-0.749662758,7.619041608,-3.499635154,0.00077647,0.013457902,-0.627108563,P30,MUT cells from HET vs WT cells from WT,Vps26b
Dgcr2,-0.747776454,7.745849301,-3.576627948,0.000604328,0.011516318,-0.386731475,P30,MUT cells from HET vs WT cells from WT,Dgcr2
Epc1,-0.747605854,8.115902874,-2.803733707,0.006383912,0.048763729,-2.346859667,P30,MUT cells from HET vs WT cells from WT,Epc1
Rangap1,-0.747185172,7.633200905,-3.699517986,0.000402349,0.008994528,-0.037227334,P30,MUT cells from HET vs WT cells from WT,Rangap1
Ddx10,-0.747179996,7.774554132,-3.555175916,0.000648254,0.012014521,-0.443637135,P30,MUT cells from HET vs WT cells from WT,Ddx10
Ndufb11,-0.746858931,7.853291562,-3.315329096,0.001395623,0.019502054,-1.098491035,P30,MUT cells from HET vs WT cells from WT,Ndufb11
Tmem126a,-0.746220908,7.844037228,-2.584528733,0.01163383,0.069953578,-2.89613422,P30,MUT cells from HET vs WT cells from WT,Tmem126a
B230217C12Rik,-0.746129595,8.045136666,-3.143561794,0.002367532,0.027120249,-1.534141113,P30,MUT cells from HET vs WT cells from WT,B230217C12Rik
Ypel2,-0.745471646,7.723926635,-2.802824061,0.006400251,0.048836412,-2.430049173,P30,MUT cells from HET vs WT cells from WT,Ypel2
Ahsa2,-0.744442257,7.918633541,-2.828487852,0.005953709,0.046236119,-2.31998922,P30,MUT cells from HET vs WT cells from WT,Ahsa2
Wdr45b,-0.74398203,7.640123691,-3.593091775,0.000572547,0.011184802,-0.348710683,P30,MUT cells from HET vs WT cells from WT,Wdr45b
Mcu,-0.74363578,7.429600583,-4.759695696,8.85830992799399e-06,0.001659015,3.403456748,P30,MUT cells from HET vs WT cells from WT,Mcu
Ppm1h,-0.74352966,7.889578832,-2.760940731,0.007195408,0.052838043,-2.47138444,P30,MUT cells from HET vs WT cells from WT,Ppm1h
Ring1,-0.74341986,8.173762724,-2.686459466,0.008836005,0.059214781,-2.603046411,P30,MUT cells from HET vs WT cells from WT,Ring1
Usp2,-0.742899506,7.919830131,-2.701514857,0.008479186,0.057973608,-2.601368897,P30,MUT cells from HET vs WT cells from WT,Usp2
Pygo1,-0.742603761,7.739098119,-3.459497713,0.000883688,0.014562239,-0.717579116,P30,MUT cells from HET vs WT cells from WT,Pygo1
Mettl2,-0.742594476,7.644761208,-4.806281285,7.40825106656937e-06,0.001659015,3.557414621,P30,MUT cells from HET vs WT cells from WT,Mettl2
Nras,-0.740932509,7.505578778,-4.642398251,1.38426791815966e-05,0.002099567,2.994624244,P30,MUT cells from HET vs WT cells from WT,Nras
Olfm3,-0.739987415,7.773841318,-4.160329271,8.16403938022656e-05,0.004664541,1.383775736,P30,MUT cells from HET vs WT cells from WT,Olfm3
Atg4c,-0.739979629,7.7460042,-3.928369948,0.000184655,0.005609723,0.659532732,P30,MUT cells from HET vs WT cells from WT,Atg4c
Cdh8,-0.739230727,7.986249289,-2.564789973,0.012260414,0.072169916,-2.89061314,P30,MUT cells from HET vs WT cells from WT,Cdh8
Derl1,-0.738945474,7.852403493,-3.132548185,0.00244765,0.027520323,-1.575582772,P30,MUT cells from HET vs WT cells from WT,Derl1
Gm996,-0.738627228,7.492572022,-4.255125978,5.80575324956943e-05,0.003752031,1.683341233,P30,MUT cells from HET vs WT cells from WT,Gm996
Fn3k,-0.738355595,7.783961218,-2.829992872,0.005928432,0.0461846,-2.332056413,P30,MUT cells from HET vs WT cells from WT,Fn3k
Trmt6,-0.737546301,7.978851009,-2.791860692,0.006600213,0.049548264,-2.388040174,P30,MUT cells from HET vs WT cells from WT,Trmt6
Dapk1,-0.737116103,8.01894733,-2.609652808,0.010878239,0.067372558,-2.786959301,P30,MUT cells from HET vs WT cells from WT,Dapk1
Hrh3,-0.736585086,7.742490034,-2.886220594,0.005051859,0.041304092,-2.224110086,P30,MUT cells from HET vs WT cells from WT,Hrh3
Cers6,-0.736320919,8.605074906,-2.72373876,0.007976437,0.056250976,-2.514418166,P30,MUT cells from HET vs WT cells from WT,Cers6
Mms19,-0.734925828,7.954318691,-2.708639207,0.008314958,0.057514435,-2.579927901,P30,MUT cells from HET vs WT cells from WT,Mms19
Polr2a,-0.73485702,7.771004378,-2.632914149,0.010218605,0.064965502,-2.787960463,P30,MUT cells from HET vs WT cells from WT,Polr2a
Lmo4,-0.734418056,7.534414144,-4.864377268,5.92111405658309e-06,0.001517439,3.772169807,P30,MUT cells from HET vs WT cells from WT,Lmo4
Mrps9,-0.733152376,7.867790021,-2.433855465,0.01724637,0.089012582,-3.189149899,P30,MUT cells from HET vs WT cells from WT,Mrps9
Tmem62,-0.732357252,7.78808029,-3.21603665,0.001898395,0.023704732,-1.373322441,P30,MUT cells from HET vs WT cells from WT,Tmem62
Topbp1,-0.732132744,7.668812633,-3.213049317,0.001915875,0.023731299,-1.397936572,P30,MUT cells from HET vs WT cells from WT,Topbp1
Sec61a1,-0.731457865,7.779263292,-3.449467786,0.000912588,0.014684207,-0.740091013,P30,MUT cells from HET vs WT cells from WT,Sec61a1
Spryd7,-0.730752653,7.551321271,-4.270526551,5.49083622046103e-05,0.003611318,1.739993752,P30,MUT cells from HET vs WT cells from WT,Spryd7
Slc30a3,-0.730611875,7.814394066,-3.405754446,0.001049284,0.016178997,-0.857261538,P30,MUT cells from HET vs WT cells from WT,Slc30a3
Nedd8,-0.727028451,7.768256177,-2.881804233,0.005116126,0.041600713,-2.21196784,P30,MUT cells from HET vs WT cells from WT,Nedd8
