,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Chkb,-0.726955917,7.869404433,-2.993481763,0.003702136,0.035686478,-1.926591101,P30,MUT cells from HET vs WT cells from WT,Chkb
Gga1,-0.726578912,7.722777021,-2.969789377,0.003967754,0.036860433,-2.011317049,P30,MUT cells from HET vs WT cells from WT,Gga1
Sh3glb1,-0.725529061,7.986077199,-2.35870686,0.020865252,0.099467964,-3.313993533,P30,MUT cells from HET vs WT cells from WT,Sh3glb1
Mecp2,-0.723828489,9.081092178,-3.431019137,0.00096809,0.015340816,-0.808998354,P30,MUT cells from HET vs WT cells from WT,Mecp2
Rims3,-0.723538232,7.703784611,-3.030067759,0.003324162,0.033367449,-1.885071149,P30,MUT cells from HET vs WT cells from WT,Rims3
Nyap1,-0.722998195,7.619231628,-3.515611469,0.000737319,0.01302211,-0.573544268,P30,MUT cells from HET vs WT cells from WT,Nyap1
Sbf1,-0.722295157,7.53136993,-3.426247383,0.000982956,0.015510248,-0.861196135,P30,MUT cells from HET vs WT cells from WT,Sbf1
Zfp30,-0.721349876,7.891710608,-2.515085479,0.013975366,0.078566504,-3.015912213,P30,MUT cells from HET vs WT cells from WT,Zfp30
Fbxo9,-0.721072845,7.645936639,-3.589944662,0.000578497,0.011196318,-0.368880177,P30,MUT cells from HET vs WT cells from WT,Fbxo9
Cdh7,-0.719329438,7.956107577,-2.631160026,0.010267052,0.064995513,-2.755362032,P30,MUT cells from HET vs WT cells from WT,Cdh7
Ecsit,-0.718787251,7.714624537,-4.518311338,2.20657215949111e-05,0.002522961,2.559511773,P30,MUT cells from HET vs WT cells from WT,Ecsit
Grik3,-0.717871335,7.590371166,-4.072201888,0.000111661,0.004886899,1.100535657,P30,MUT cells from HET vs WT cells from WT,Grik3
Slc44a2,-0.716855732,7.605472847,-4.005391793,0.000141229,0.004951008,0.891856497,P30,MUT cells from HET vs WT cells from WT,Slc44a2
Ccser1,-0.716494933,8.156782612,-2.977196346,0.003882875,0.036648759,-1.94000153,P30,MUT cells from HET vs WT cells from WT,Ccser1
Ywhaq,-0.716243788,7.840144561,-2.775587809,0.006907589,0.051234732,-2.445517258,P30,MUT cells from HET vs WT cells from WT,Ywhaq
Sucla2,-0.715846582,7.99338047,-2.357483426,0.020929375,0.099563044,-3.31550146,P30,MUT cells from HET vs WT cells from WT,Sucla2
Adarb1,0.713784599,8.545162374,3.161836937,0.002239968,0.026181435,-1.488753822,P30,MUT cells from HET vs WT cells from WT,Adarb1
Faim,-0.712047387,7.736623048,-2.938545648,0.004345025,0.038257562,-2.09066613,P30,MUT cells from HET vs WT cells from WT,Faim
Eif2s1,-0.710639449,7.583110516,-3.51795064,0.000731746,0.012979324,-0.580057942,P30,MUT cells from HET vs WT cells from WT,Eif2s1
Cacnb3,-0.710471101,7.67735031,-3.498622066,0.000779018,0.013457902,-0.616220792,P30,MUT cells from HET vs WT cells from WT,Cacnb3
Kcna1,0.709854593,8.449418927,3.185653928,0.002083346,0.024944026,-1.428122164,P30,MUT cells from HET vs WT cells from WT,Kcna1
Nln,-0.709517006,8.206325707,-2.474646831,0.015526704,0.083197164,-3.048707042,P30,MUT cells from HET vs WT cells from WT,Nln
Psmb2,-0.708908244,8.256069094,-2.689747935,0.00875692,0.058902118,-2.592074332,P30,MUT cells from HET vs WT cells from WT,Psmb2
Brox,-0.708880894,7.72067211,-3.618838718,0.000526007,0.010681097,-0.266698946,P30,MUT cells from HET vs WT cells from WT,Brox
Cap1,-0.707835466,7.512137673,-3.820640244,0.000267331,0.007181765,0.304077317,P30,MUT cells from HET vs WT cells from WT,Cap1
Nrn1,-0.707827278,7.478600726,-4.412485025,3.26755954062615e-05,0.002823779,2.207572486,P30,MUT cells from HET vs WT cells from WT,Nrn1
Fuom,-0.706267856,7.956843574,-2.914351072,0.004659662,0.039532658,-2.10897313,P30,MUT cells from HET vs WT cells from WT,Fuom
Mrpl33,-0.705015532,7.749700071,-2.893352439,0.004949646,0.040798683,-2.191510858,P30,MUT cells from HET vs WT cells from WT,Mrpl33
Rap1gap2,-0.704404288,7.460803909,-4.335454168,4.33530721481358e-05,0.003128437,1.947716284,P30,MUT cells from HET vs WT cells from WT,Rap1gap2
Pmm1,-0.703792448,7.717359952,-2.867283412,0.005332781,0.042942724,-2.259596549,P30,MUT cells from HET vs WT cells from WT,Pmm1
Smim26,-0.703439184,7.542167286,-5.232530298,1.39221588730894e-06,0.001074941,5.100084274,P30,MUT cells from HET vs WT cells from WT,Smim26
Gpx1,-0.703310777,7.503468329,-5.856803882,1.08744460883747e-07,0.00050268,7.46047127,P30,MUT cells from HET vs WT cells from WT,Gpx1
Zfp738,-0.703138143,8.09607786,-2.551370916,0.012703625,0.073818094,-2.902141175,P30,MUT cells from HET vs WT cells from WT,Zfp738
Thy1,0.702498267,8.720528272,2.976730299,0.003888166,0.036648759,-1.940650587,P30,MUT cells from HET vs WT cells from WT,Thy1
Rorb,-0.702352298,7.488147514,-4.392348727,3.51909965488725e-05,0.002943683,2.140246352,P30,MUT cells from HET vs WT cells from WT,Rorb
Anapc2,-0.702077961,7.591636357,-3.473819451,0.000843918,0.014126127,-0.704052035,P30,MUT cells from HET vs WT cells from WT,Anapc2
AU019823,-0.701449876,7.559945966,-4.153436552,8.36756588684074e-05,0.004664541,1.356821028,P30,MUT cells from HET vs WT cells from WT,AU019823
Gmppa,-0.701323905,7.730430716,-3.262621065,0.001644426,0.021516509,-1.257584174,P30,MUT cells from HET vs WT cells from WT,Gmppa
Fnbp1,-0.701074865,7.909228369,-2.695645147,0.008616709,0.058483452,-2.61560742,P30,MUT cells from HET vs WT cells from WT,Fnbp1
Mtr,-0.701063997,7.564130877,-3.742426953,0.000348406,0.008194166,0.072263542,P30,MUT cells from HET vs WT cells from WT,Mtr
Lmtk3,-0.700221409,7.905247806,-2.930401614,0.004448673,0.038652855,-2.070873749,P30,MUT cells from HET vs WT cells from WT,Lmtk3
Rap1a,-0.7001363,7.650518019,-3.845477448,0.000245601,0.006735462,0.402469927,P30,MUT cells from HET vs WT cells from WT,Rap1a
Fxyd7,-0.699313845,7.557124078,-3.767452678,0.000320206,0.007726527,0.147361143,P30,MUT cells from HET vs WT cells from WT,Fxyd7
Abhd18,-0.697818715,8.505888602,-2.5486564,0.012795021,0.074117375,-2.886519052,P30,MUT cells from HET vs WT cells from WT,Abhd18
Ppil3,-0.697686371,7.71857871,-2.974191235,0.003917107,0.036717134,-2.015897782,P30,MUT cells from HET vs WT cells from WT,Ppil3
E130308A19Rik,-0.696632079,7.55912888,-3.109699316,0.002621994,0.028954915,-1.712079107,P30,MUT cells from HET vs WT cells from WT,E130308A19Rik
Erh,-0.696589151,7.80240822,-2.896508178,0.004905029,0.040685464,-2.175980722,P30,MUT cells from HET vs WT cells from WT,Erh
Snrpa,-0.696239754,7.848338658,-2.944014423,0.004276682,0.03793523,-2.052688277,P30,MUT cells from HET vs WT cells from WT,Snrpa
Icam5,-0.695650408,7.426203985,-4.575944038,1.77830330668509e-05,0.002240059,2.76141751,P30,MUT cells from HET vs WT cells from WT,Icam5
Tex261,-0.695322202,7.672015501,-3.27810786,0.001567309,0.020837644,-1.226596377,P30,MUT cells from HET vs WT cells from WT,Tex261
Slc24a3,-0.69446745,7.981230225,-2.867010931,0.005336926,0.042942724,-2.220444405,P30,MUT cells from HET vs WT cells from WT,Slc24a3
Tsg101,-0.694425199,7.590082555,-3.705445477,0.00039445,0.008910502,-0.029436999,P30,MUT cells from HET vs WT cells from WT,Tsg101
Gm12258,-0.693816545,7.66484621,-3.671467811,0.000441816,0.009470496,-0.1169317,P30,MUT cells from HET vs WT cells from WT,Gm12258
Phka2,-0.693602861,8.626572227,-2.656548236,0.009585778,0.062934188,-2.659457793,P30,MUT cells from HET vs WT cells from WT,Phka2
Prpsap1,-0.69317426,7.950207779,-2.46349348,0.015980933,0.084815737,-3.111948797,P30,MUT cells from HET vs WT cells from WT,Prpsap1
4930447C04Rik,-0.692937782,7.689256648,-3.255498422,0.001681076,0.02174068,-1.289109266,P30,MUT cells from HET vs WT cells from WT,4930447C04Rik
Zfp182,-0.690846081,7.621767342,-3.377854025,0.001146394,0.017268122,-0.968746579,P30,MUT cells from HET vs WT cells from WT,Zfp182
Svip,-0.689105687,7.730417292,-3.363574567,0.001199313,0.017755569,-0.982744007,P30,MUT cells from HET vs WT cells from WT,Svip
Uqcrfs1,-0.687940953,8.017828542,-2.502810407,0.014430847,0.079960738,-3.016203898,P30,MUT cells from HET vs WT cells from WT,Uqcrfs1
Arap2,-0.687861366,8.098349463,-2.400650707,0.018769882,0.094288719,-3.21092353,P30,MUT cells from HET vs WT cells from WT,Arap2
4632404H12Rik,-0.687680011,7.908543582,-2.600858844,0.011137501,0.068351698,-2.830360057,P30,MUT cells from HET vs WT cells from WT,4632404H12Rik
AU040320,-0.687520945,7.83986508,-3.396082438,0.001082034,0.016546666,-0.881751533,P30,MUT cells from HET vs WT cells from WT,AU040320
Actl6a,-0.68612374,7.70434596,-3.01645645,0.003460389,0.034335932,-1.901690788,P30,MUT cells from HET vs WT cells from WT,Actl6a
Grid2,-0.685777406,7.899577635,-2.60264732,0.011084324,0.068250787,-2.843491388,P30,MUT cells from HET vs WT cells from WT,Grid2
Tceal9,-0.685657177,7.735782846,-2.7521719,0.007372928,0.053370042,-2.529121641,P30,MUT cells from HET vs WT cells from WT,Tceal9
Snx30,-0.68560716,7.790473386,-2.826924094,0.005980077,0.046344039,-2.354905481,P30,MUT cells from HET vs WT cells from WT,Snx30
Vgf,-0.685318499,8.041507795,-2.305672744,0.023810624,0.108498195,-3.411074891,P30,MUT cells from HET vs WT cells from WT,Vgf
Glul,-0.684889616,7.894334961,-2.779419348,0.006834058,0.050841561,-2.432861399,P30,MUT cells from HET vs WT cells from WT,Glul
Clk2,-0.684541152,7.572915241,-2.926589339,0.004497972,0.038916095,-2.189918687,P30,MUT cells from HET vs WT cells from WT,Clk2
Srsf6,-0.683584684,8.013791274,-2.426035374,0.017594866,0.090307353,-3.173692351,P30,MUT cells from HET vs WT cells from WT,Srsf6
Kdm5c,-0.683231958,7.543526034,-4.071370736,0.000111989,0.004886899,1.09355338,P30,MUT cells from HET vs WT cells from WT,Kdm5c
Apc,-0.682799387,8.961727448,-2.752870781,0.007358634,0.053370042,-2.451960389,P30,MUT cells from HET vs WT cells from WT,Apc
Rnf181,-0.682740217,7.613603468,-3.297709604,0.001474565,0.020071371,-1.185668589,P30,MUT cells from HET vs WT cells from WT,Rnf181
Tox3,-0.682073133,7.630104678,-5.009012963,3.37149033144509e-06,0.001179885,4.275251071,P30,MUT cells from HET vs WT cells from WT,Tox3
Emc8,-0.681489889,7.612138081,-3.137528605,0.002411112,0.027362836,-1.608442577,P30,MUT cells from HET vs WT cells from WT,Emc8
Rsl1d1,-0.681115503,7.770631317,-3.090149259,0.002780284,0.030027724,-1.706340442,P30,MUT cells from HET vs WT cells from WT,Rsl1d1
Synpr,-0.680771394,8.091363036,-2.312182619,0.023430299,0.107272595,-3.39137038,P30,MUT cells from HET vs WT cells from WT,Synpr
Uba6,-0.678617167,7.639270156,-3.590255841,0.000577906,0.011196318,-0.358727854,P30,MUT cells from HET vs WT cells from WT,Uba6
Mrps15,-0.67840772,7.753541699,-3.815260427,0.000272274,0.007181765,0.315245572,P30,MUT cells from HET vs WT cells from WT,Mrps15
Ralgps2,-0.678346868,7.717243859,-3.073014101,0.002926292,0.030914349,-1.754583313,P30,MUT cells from HET vs WT cells from WT,Ralgps2
Phf12,-0.677785814,7.793053327,-2.529204483,0.013467492,0.077075389,-3.008668589,P30,MUT cells from HET vs WT cells from WT,Phf12
Commd3,-0.677760497,8.123179356,-2.477598246,0.01540846,0.08295855,-3.056969771,P30,MUT cells from HET vs WT cells from WT,Commd3
Cnih2,-0.677674895,7.546660089,-3.815375693,0.000272168,0.007181765,0.29258683,P30,MUT cells from HET vs WT cells from WT,Cnih2
Fam241b,-0.677281299,7.725187147,-3.295628893,0.00148416,0.020128239,-1.168117667,P30,MUT cells from HET vs WT cells from WT,Fam241b
Ccdc58,-0.676476578,7.630300824,-3.674613327,0.000437213,0.009470496,-0.111803823,P30,MUT cells from HET vs WT cells from WT,Ccdc58
Vip,-0.675868189,7.632744934,-2.384739705,0.019541583,0.09624456,-3.420215726,P30,MUT cells from HET vs WT cells from WT,Vip
Itm2b,0.675630431,8.643549501,2.877275231,0.005182814,0.041868125,-2.17411886,P30,MUT cells from HET vs WT cells from WT,Itm2b
Per1,-0.675607711,7.588937,-3.255313883,0.001682036,0.02174068,-1.306021765,P30,MUT cells from HET vs WT cells from WT,Per1
Rnf38,-0.674392811,7.78984458,-2.954475764,0.004148709,0.037615997,-2.032426741,P30,MUT cells from HET vs WT cells from WT,Rnf38
Pdcd7,-0.674326712,7.888003025,-2.602328477,0.011093788,0.068252508,-2.829057801,P30,MUT cells from HET vs WT cells from WT,Pdcd7
Rab39b,-0.673680492,7.705833622,-3.660240853,0.000458622,0.009688738,-0.14637951,P30,MUT cells from HET vs WT cells from WT,Rab39b
Mkln1,-0.673667171,8.656745871,-2.680629912,0.008977803,0.059895,-2.607752868,P30,MUT cells from HET vs WT cells from WT,Mkln1
Ckap5,-0.672961733,7.855342885,-2.500390838,0.014522187,0.080184916,-3.055968698,P30,MUT cells from HET vs WT cells from WT,Ckap5
Zfp260,-0.672566875,8.141726716,-2.368856818,0.020339972,0.098458384,-3.268047847,P30,MUT cells from HET vs WT cells from WT,Zfp260
Rundc3b,-0.672461476,7.718499858,-4.154523522,8.33514863008629e-05,0.004664541,1.367750804,P30,MUT cells from HET vs WT cells from WT,Rundc3b
Rexo4,-0.671783459,7.801406149,-2.847418925,0.005642857,0.044628356,-2.288759471,P30,MUT cells from HET vs WT cells from WT,Rexo4
Fam171a1,-0.671646372,7.628195522,-3.309771804,0.001420083,0.0196172,-1.163642544,P30,MUT cells from HET vs WT cells from WT,Fam171a1
Slc2a6,-0.670870866,7.731151999,-3.290160557,0.001509655,0.020197097,-1.191771536,P30,MUT cells from HET vs WT cells from WT,Slc2a6
Kcnj9,-0.670790788,7.676975702,-3.504800142,0.000763603,0.013353164,-0.59752052,P30,MUT cells from HET vs WT cells from WT,Kcnj9
Coro1a,-0.670790524,7.532774746,-4.988643729,3.65141936789739e-06,0.001179885,4.215805609,P30,MUT cells from HET vs WT cells from WT,Coro1a
Prkg1,-0.670373822,7.403722895,-3.803393317,0.000283489,0.007258952,0.227805104,P30,MUT cells from HET vs WT cells from WT,Prkg1
2310061I04Rik,-0.669589528,8.015289314,-2.811377375,0.006248122,0.048070436,-2.33841374,P30,MUT cells from HET vs WT cells from WT,2310061I04Rik
Etnk2,-0.66947326,7.41351308,-4.872658922,5.7343913725022e-06,0.001517439,3.804463972,P30,MUT cells from HET vs WT cells from WT,Etnk2
Pycr2,-0.669435297,7.600504538,-2.889586142,0.005003384,0.041043215,-2.24881985,P30,MUT cells from HET vs WT cells from WT,Pycr2
Ctr9,-0.669405787,7.820078019,-2.525886074,0.01358534,0.077325885,-3.01692754,P30,MUT cells from HET vs WT cells from WT,Ctr9
Syap1,-0.668900737,7.590971984,-4.081094166,0.000108206,0.004886899,1.128193136,P30,MUT cells from HET vs WT cells from WT,Syap1
Gm9801,-0.667960317,7.668387559,-2.918968433,0.004598038,0.039278872,-2.15400993,P30,MUT cells from HET vs WT cells from WT,Gm9801
AW209491,-0.6673881,8.003506828,-2.859444643,0.005453218,0.043583138,-2.229026977,P30,MUT cells from HET vs WT cells from WT,AW209491
Dda1,-0.666276895,7.709686122,-3.864823231,0.000229857,0.00649542,0.46462361,P30,MUT cells from HET vs WT cells from WT,Dda1
Smc5,-0.666030329,8.101605406,-2.791958965,0.006598395,0.049548264,-2.374307223,P30,MUT cells from HET vs WT cells from WT,Smc5
Fam227a,-0.665223187,7.580059659,-3.702563823,0.000398272,0.008969564,-0.039867619,P30,MUT cells from HET vs WT cells from WT,Fam227a
Socs2,-0.664998996,7.610784045,-4.017270597,0.000135473,0.004935471,0.926856389,P30,MUT cells from HET vs WT cells from WT,Socs2
Fez1,-0.664970962,8.324643903,-2.29979837,0.024158496,0.109751693,-3.38633752,P30,MUT cells from HET vs WT cells from WT,Fez1
Aagab,-0.664892272,7.699853113,-3.526629189,0.000711416,0.012740353,-0.530968457,P30,MUT cells from HET vs WT cells from WT,Aagab
Ap3m2,-0.664161827,7.699260887,-3.224252168,0.001851091,0.023278015,-1.363670218,P30,MUT cells from HET vs WT cells from WT,Ap3m2
Dvl3,-0.663806563,7.820459068,-2.895803694,0.004914957,0.040722364,-2.172126762,P30,MUT cells from HET vs WT cells from WT,Dvl3
Serinc1,0.663507118,8.427529237,3.091814046,0.002766466,0.029927761,-1.662354915,P30,MUT cells from HET vs WT cells from WT,Serinc1
Prkar2b,-0.663247089,8.053039735,-1.991751108,0.049929721,0.171477675,-3.98029652,P30,MUT cells from HET vs WT cells from WT,Prkar2b
Camta2,-0.662891564,7.605790697,-4.568355199,1.82969781132233e-05,0.002266386,2.739171433,P30,MUT cells from HET vs WT cells from WT,Camta2
Hnrnpul1,-0.662754628,7.736711478,-3.037167032,0.003255102,0.032914169,-1.844655075,P30,MUT cells from HET vs WT cells from WT,Hnrnpul1
Tmem258,-0.66271019,7.756092048,-3.051376343,0.003120861,0.032080552,-1.802465628,P30,MUT cells from HET vs WT cells from WT,Tmem258
Mpv17,-0.662656456,7.518488611,-3.891536592,0.000209696,0.006111601,0.524682304,P30,MUT cells from HET vs WT cells from WT,Mpv17
3110021N24Rik,-0.662581467,7.925222391,-2.793027485,0.006578662,0.049548264,-2.393478431,P30,MUT cells from HET vs WT cells from WT,3110021N24Rik
Hspa14,-0.661841187,7.783074536,-2.454546072,0.016353893,0.086078,-3.180856873,P30,MUT cells from HET vs WT cells from WT,Hspa14
Glce,-0.661609651,7.736372254,-3.269641301,0.001609038,0.021127863,-1.236587009,P30,MUT cells from HET vs WT cells from WT,Glce
Nlgn1,-0.661397533,7.866380061,-2.792344371,0.006591271,0.049548264,-2.411977578,P30,MUT cells from HET vs WT cells from WT,Nlgn1
Stambp,-0.661207044,7.637852218,-2.986339071,0.003780426,0.036099999,-1.993574289,P30,MUT cells from HET vs WT cells from WT,Stambp
Cacng3,-0.660414035,7.843510674,-2.893008943,0.004954525,0.040798683,-2.178941639,P30,MUT cells from HET vs WT cells from WT,Cacng3
Rit2,-0.660356653,7.867449368,-2.527428637,0.013530443,0.07721825,-2.999508606,P30,MUT cells from HET vs WT cells from WT,Rit2
Map4k4,-0.660009219,7.882116901,-2.219823497,0.029360939,0.123492076,-3.623701794,P30,MUT cells from HET vs WT cells from WT,Map4k4
Zrsr2,-0.659720806,7.59361851,-3.544060526,0.000672188,0.012365604,-0.501020309,P30,MUT cells from HET vs WT cells from WT,Zrsr2
Eif2a,-0.659590909,7.711023232,-2.722307477,0.008007977,0.056250976,-2.60420885,P30,MUT cells from HET vs WT cells from WT,Eif2a
Cdk17,-0.659383644,7.887550955,-2.689177308,0.008770597,0.058935872,-2.642978755,P30,MUT cells from HET vs WT cells from WT,Cdk17
Acvr2a,-0.658691565,7.744404873,-3.774813896,0.000312334,0.007571459,0.194384024,P30,MUT cells from HET vs WT cells from WT,Acvr2a
Epm2a,-0.658511351,7.756857686,-2.511204352,0.014117961,0.078958684,-3.060824825,P30,MUT cells from HET vs WT cells from WT,Epm2a
Hsp90aa1,0.658116581,8.603692684,2.736106627,0.007708584,0.055117389,-2.495946056,P30,MUT cells from HET vs WT cells from WT,Hsp90aa1
Thap2,-0.657951249,7.767409671,-2.476820256,0.01543955,0.082969442,-3.138731596,P30,MUT cells from HET vs WT cells from WT,Thap2
Tmem67,-0.657838766,7.810581012,-3.031415014,0.003310952,0.033297697,-1.843379088,P30,MUT cells from HET vs WT cells from WT,Tmem67
Trmt13,-0.657640873,8.167915794,-2.099935507,0.038995933,0.148017249,-3.769848062,P30,MUT cells from HET vs WT cells from WT,Trmt13
Galntl6,-0.657440419,8.969036569,-2.349655396,0.021343814,0.100651795,-3.290021165,P30,MUT cells from HET vs WT cells from WT,Galntl6
Agbl4,-0.657338149,8.175422458,-2.755641481,0.007302215,0.053205941,-2.450912912,P30,MUT cells from HET vs WT cells from WT,Agbl4
Polr2m,-0.657184925,7.725823616,-3.204859373,0.001964572,0.024093559,-1.41284532,P30,MUT cells from HET vs WT cells from WT,Polr2m
Sec16a,-0.656898329,7.5250503,-4.961434432,4.06102034308188e-06,0.00120726,4.118895521,P30,MUT cells from HET vs WT cells from WT,Sec16a
Foxk1,-0.655586349,7.540787394,-3.776780782,0.000310263,0.007571459,0.173181648,P30,MUT cells from HET vs WT cells from WT,Foxk1
Rps6ka2,-0.654750445,7.685460206,-4.214188478,6.72995394205681e-05,0.004099756,1.559643898,P30,MUT cells from HET vs WT cells from WT,Rps6ka2
Fbxo41,-0.654583809,7.742427425,-2.623118755,0.010491824,0.065908085,-2.822589591,P30,MUT cells from HET vs WT cells from WT,Fbxo41
1810022K09Rik,-0.654120809,8.287718763,-2.476263946,0.015461816,0.082980893,-3.040120614,P30,MUT cells from HET vs WT cells from WT,1810022K09Rik
Ndufa2,-0.654075868,7.740291593,-2.970128077,0.003963835,0.036860433,-2.01187998,P30,MUT cells from HET vs WT cells from WT,Ndufa2
Ankrd28,-0.653726656,7.801015296,-2.493206588,0.014796467,0.080977426,-3.082782626,P30,MUT cells from HET vs WT cells from WT,Ankrd28
Numbl,-0.653722344,7.661895559,-2.947892248,0.004228825,0.037816315,-2.103655065,P30,MUT cells from HET vs WT cells from WT,Numbl
Ccdc57,-0.653389934,7.553755773,-3.532538091,0.000697882,0.012612352,-0.551567626,P30,MUT cells from HET vs WT cells from WT,Ccdc57
Ephb6,-0.652578846,7.938894685,-2.577278099,0.011860547,0.070858189,-2.875643148,P30,MUT cells from HET vs WT cells from WT,Ephb6
Syncrip,-0.652379344,7.921383943,-2.349669427,0.021343065,0.100651795,-3.351336177,P30,MUT cells from HET vs WT cells from WT,Syncrip
