"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Kmt2d",0.0148586924900957,7.76545933006331,0.169510691013402,0.865487993005287,0.944579585055379,-5.90231677209338,"P30","WT cells from WT vs WT cells from HET"
"Mon2",0.0148357238045751,8.01266221707708,0.145563483577793,0.884345597416515,0.954240215562335,-5.82121145765857,"P30","WT cells from WT vs WT cells from HET"
"Sdad1",0.0148259468487906,7.68598805970165,0.165619185354018,0.868547485568812,0.945731620494013,-5.9334751827474,"P30","WT cells from WT vs WT cells from HET"
"Denr",0.0147885637867864,7.61345133949544,0.185769984727702,0.852727372568544,0.939098470609737,-5.96101000126233,"P30","WT cells from WT vs WT cells from HET"
"Hecw1",0.0147809390195963,8.50447357010798,0.142167187490993,0.88702565608145,0.955699025671325,-5.72988377432265,"P30","WT cells from WT vs WT cells from HET"
"Gda",-0.0147435077210982,8.26046861333468,-0.142179293652064,0.887016100639285,0.955699025671325,-5.76550135878015,"P30","WT cells from WT vs WT cells from HET"
"Large1",-0.0147248182311799,8.23346358643639,-0.153765570594835,0.877878766248248,0.950557512444713,-5.76808187900934,"P30","WT cells from WT vs WT cells from HET"
"Tubgcp2",-0.0147113578482045,7.75618486579386,-0.169083966826115,0.865823384621974,0.944808578084951,-5.90578509910132,"P30","WT cells from WT vs WT cells from HET"
"4833420G17Rik",-0.0146404139749325,8.27750426502184,-0.141443610199873,0.887596808477276,0.955814854298415,-5.76261616591929,"P30","WT cells from WT vs WT cells from HET"
"Nucb1",0.0146281948726115,7.51647618245019,0.221014778062501,0.8252033548293,0.923437390483949,-5.99639910842937,"P30","WT cells from WT vs WT cells from HET"
"Akt2",0.0146152275076084,7.62801205266305,0.171898247162147,0.86361190038112,0.944449991056329,-5.95624348592178,"P30","WT cells from WT vs WT cells from HET"
"Wdfy3",-0.0145928690855595,8.31264963782499,-0.147585037485779,0.882750993176908,0.954010122473866,-5.75609974128495,"P30","WT cells from WT vs WT cells from HET"
"Ppp1r21",0.0145628598180112,7.62317130915342,0.182726802443364,0.855112886285494,0.940761713176204,-5.95732452543883,"P30","WT cells from WT vs WT cells from HET"
"Adrm1",0.0145543511012205,7.72262376160007,0.169932508199959,0.86515648204007,0.944579585055379,-5.91833821636083,"P30","WT cells from WT vs WT cells from HET"
"Zfp512",-0.0144893820252907,7.95543873871907,-0.162376414762029,0.871098456719742,0.946782454024268,-5.83632092105067,"P30","WT cells from WT vs WT cells from HET"
"Mapk8ip3",-0.0144788770734152,8.45926966645773,-0.141740786465827,0.887362226653359,0.955699025671325,-5.73536430633766,"P30","WT cells from WT vs WT cells from HET"
"Rassf1",-0.0144647110887632,7.75222314143906,-0.168083350552616,0.866609932185889,0.945290656055255,-5.90644924348843,"P30","WT cells from WT vs WT cells from HET"
"Tbc1d24",0.0144429774781258,8.33681198753984,0.147075487457033,0.883152882167495,0.954170345408993,-5.75281089121334,"P30","WT cells from WT vs WT cells from HET"
"Slit3",-0.0144304184049737,8.10938280603333,-0.153891929872378,0.87777920271138,0.950557512444713,-5.79452287975605,"P30","WT cells from WT vs WT cells from HET"
"Vps54",0.0144295612509202,7.78780559496105,0.160219485548314,0.872795983094694,0.947584324550217,-5.89485442939823,"P30","WT cells from WT vs WT cells from HET"
"Pdzrn3",-0.0144278236806983,7.89586713558746,-0.167882654244101,0.866767708150612,0.945290656055255,-5.85480312468683,"P30","WT cells from WT vs WT cells from HET"
"Spaca6",0.0144256390989685,8.03175554570056,0.15607312724532,0.876060857213732,0.949507618795177,-5.81462215988447,"P30","WT cells from WT vs WT cells from HET"
