"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"181","CLSTN2",-0.447191331,2.20605e-05,0.000457785,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"182","SEPT3",-0.418982588,2.30086e-05,0.000474837,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"183","FAM217B",-0.426367119,2.35139e-05,0.000482614,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"184","LRP1",-0.419192608,2.40287e-05,0.000490499,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"185","RPL4",-0.433268216,2.83919e-05,0.000576432,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"186","TMEM161B-AS1",0.423497385,2.90073e-05,0.00058576,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"187","LINC00632",0.587106673,3.05192e-05,0.000612996,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"188","UBA1",-0.405093637,3.11252e-05,0.000621842,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"189","RNF11",-0.478508132,3.15151e-05,0.000626301,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"190","LNX1",0.421795521,3.22858e-05,0.00063824,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"191","PRKCE",-0.415241767,3.28087e-05,0.000643897,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"192","SLC9A6",-0.412933145,3.29149e-05,0.000643897,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"193","GABPB1-AS1",0.455256803,3.34786e-05,0.000651532,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"194","PHYHIP",-0.575802521,3.40042e-05,0.00065835,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"195","PTPRK",-0.468669074,3.5929e-05,0.00069074,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"196","AC007388.1",0.411721068,3.61957e-05,0.00069074,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"197","FAM169A",-0.407798513,3.62289e-05,0.00069074,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"198","DYNC1H1",-0.587809121,3.70994e-05,0.000703764,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"199","GTF2A1",-0.399638185,3.7503e-05,0.000707845,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"200","DIRAS1",-0.39704956,3.9131e-05,0.00073488,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"201","ZFR",-0.425878373,4.12047e-05,0.000769975,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"202","ACOT7",-0.393532075,4.21232e-05,0.00078324,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"203","MIB1",-0.402610753,4.37162e-05,0.000808858,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"204","HECTD2",0.466309825,4.54887e-05,0.000837527,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"205","KATNBL1",0.435491293,4.57957e-05,0.000839067,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"206","RASGRF2",-0.416471897,4.63505e-05,0.000845109,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"207","ATP6V1B2",-0.516858057,4.94041e-05,0.000896433,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"208","LDHA",-0.402513,5.04865e-05,0.000910398,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"209","TCAF1",-0.403071147,5.06584e-05,0.000910398,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"210","CHST1",-0.390876409,5.13748e-05,0.000913522,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"211","ZNF382",0.408468982,5.14892e-05,0.000913522,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"212","EPHA4",-0.501170797,5.1562e-05,0.000913522,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"213","BLCAP",-0.402876021,5.32949e-05,0.000939717,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"214","PDE1A",-0.467050545,5.35408e-05,0.000939717,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"215","NDRG4",-0.523764717,5.47431e-05,0.000956348,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"216","PRRC2B",-0.43108072,5.62551e-05,0.000978214,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"217","SLC7A14",-0.41455077,5.81021e-05,0.001005675,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"218","NUFIP2",-0.41253419,6.1135e-05,0.001053316,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"219","NAPA",-0.404733867,6.15998e-05,0.001056479,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"220","AC011287.1",0.395342224,6.32083e-05,0.001079139,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"221","ST7",0.388380337,6.42538e-05,0.001092024,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"222","ID2",-0.403247412,6.69661e-05,0.001122722,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"223","FAM19A1",0.471637009,6.71316e-05,0.001122722,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
