"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","Sex","DEG_method","Cell_Type","Metadata","Time_point","Tissue"
"EPN1",-1.375446012,-0.459899514,1.92583e-06,6.51626e-05,7.729227312,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SLC2A3",-1.398659189,-0.484044464,1.94308e-06,6.51626e-05,7.940571879,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PKIA",-1.394123466,-0.479358334,1.99811e-06,6.64149e-05,8.05189946,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KIAA1549L",-1.47365397,-0.559397803,2.12399e-06,6.94134e-05,8.51236754,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DLG4",-1.390824086,-0.475939956,2.12528e-06,6.94134e-05,8.036528759,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"GUCY1A2",-1.532330337,-0.615727344,2.17086e-06,7.02909e-05,8.653804698,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"AL078639.1",-1.466714458,-0.552588032,2.21241e-06,7.06486e-05,7.904088153,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CMTM4",-1.377328707,-0.461872908,2.21952e-06,7.06486e-05,7.948800827,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ABLIM1",-1.410488053,-0.496194446,2.34633e-06,7.40574e-05,7.902450864,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"JUND",-1.39188886,-0.477044018,2.42052e-06,7.57623e-05,7.853788116,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TUBB4B",-1.373419466,-0.457772317,2.46207e-06,7.59569e-05,7.975460063,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"EIF1AX",-1.431975693,-0.518007004,2.46718e-06,7.59569e-05,8.281109108,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TMEM246",-1.373069043,-0.457404172,2.55373e-06,7.79822e-05,7.887629634,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ENO1",-1.409780969,-0.495471035,2.69352e-06,8.15877e-05,8.217883356,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"LNPEP",-1.409293055,-0.494971644,2.74747e-06,8.25559e-05,8.181257091,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CACNG8",-1.406648214,-0.492261573,3.12034e-06,9.3016e-05,7.938542613,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SYT7",-1.379681379,-0.464335132,3.30311e-06,9.76889e-05,8.056120267,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TMEM245",-1.374624057,-0.459037113,3.4038e-06,9.98802e-05,8.057296156,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"OLFM3",1.418536885,0.504403664,3.73906e-06,0.000108867,8.288624643,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ANKH",-1.372428599,-0.456731095,3.95963e-06,0.000114403,8.013478796,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DDAH1",-1.362229173,-0.445969434,3.99606e-06,0.000114574,7.743796727,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ENO2",-1.558650079,-0.640297076,4.0381e-06,0.000114902,8.934939138,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"GFOD1",-1.376053492,-0.460536554,4.2489e-06,0.000119991,8.026802713,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ARHGAP5",-1.419475587,-0.505358037,4.31414e-06,0.000120925,8.226328016,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FOXO3",-1.37581076,-0.460282044,4.45528e-06,0.000123185,7.771949093,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CANX",-1.439372746,-0.525440247,4.46037e-06,0.000123185,8.289043581,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"HSP90AA1",1.684857349,0.752626448,4.54949e-06,0.000124729,10.04545653,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"RGS6",1.366262687,0.450234893,4.62671e-06,0.000125927,8.109053615,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CCSAP",-1.394827301,-0.480086508,5.04698e-06,0.000136377,8.205891756,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PRKCA",-1.369730133,-0.453891679,5.16912e-06,0.00013868,7.9225775,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
