"","logFC","logCPM","LR","PValue","FDR","Sex","Time_point","Cell_type","SYMBOL"
"17",-1.16916860246329,11.1592929520681,27.1656010267873,1.86752071505529e-07,0.000216039190483984,"Male","P120","Astro","Tmem59"
"18",-0.944028052737438,11.5070719344877,25.9968778831411,3.41969939237128e-07,0.000343696891465445,"Male","P120","Astro","Lrp1b"
"19",-1.016293587019,11.3884104814807,25.8855171924886,3.6227705171981e-07,0.000343696891465445,"Male","P120","Astro","Cd81"
"20",0.927439133078302,11.0642789575625,25.8845792455367,3.62453126459367e-07,0.000343696891465445,"Male","P120","Astro","Ttr"
"21",-0.963557825761663,11.4726125159866,25.8604581352263,3.67010816677227e-07,0.000343696891465445,"Male","P120","Astro","Hnrnpa2b1"
"22",-1.0896553681763,11.2386101775768,25.2289849799141,5.09112859075468e-07,0.00045510061302628,"Male","P120","Astro","Oaz1"
"23",-0.839723577893487,11.7278186264662,24.6460312774245,6.88864705010023e-07,0.000589009273422918,"Male","P120","Astro","Ckb"
"24",-1.0823695293545,11.2210566207582,24.4949984296605,7.45029857292512e-07,0.000610489882229773,"Male","P120","Astro","Rpl8"
"25",-0.978358219880623,11.3687196329686,24.063264791391,9.3221851873443e-07,0.000733320375577252,"Male","P120","Astro","Luc7l3"
"26",-1.03697555088355,11.1136519152802,22.5342101716208,2.06434332888209e-06,0.00156143753483827,"Male","P120","Astro","Col6a1"
"27",-1.04265121462066,11.1209467081726,22.3480921628064,2.27438885320622e-06,0.00165659745137605,"Male","P120","Astro","F3"
