"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plcb1",9.95332292883775e-07,-0.135745635963052,1,1,0.0172023280179103
"Nap1l5",1.1201693042982e-06,-0.135350925481691,1,1,0.0193598860861857
"Zfp451",1.20655086127737e-06,-0.138939183289488,1,1,0.0208528185354568
"Mgat5",1.20997520126928e-06,-0.137951745082708,1,1,0.0209120014035369
"Clcn3",1.24588467598532e-06,-0.135675228454817,1,1,0.0215326248550542
"Ly6e",1.44767964053301e-06,-0.13952767695654,1,1,0.025020247227332
"Vgf",1.45188658589163e-06,-0.141969619447143,1,1,0.0250929558639651
"Gpc6",1.46797814282488e-06,-0.139120831209062,1,1,0.0253710662424424
"Ppib",1.62741910454902e-06,-0.131671160164219,1,1,0.0281266843839207
"Atp8a1",1.62759060355068e-06,-0.129917484709249,1,1,0.0281296484011664
"Cux1",1.64773146657487e-06,-0.137723007372639,1,1,0.0284777429368134
"9530059O14Rik",1.65935412873945e-06,-0.137562131952222,1,1,0.028678617407004
"Tyro3",1.66374918537602e-06,-0.139600624413109,1,1,0.0287545771708538
"Ttc14",1.74415785294596e-06,-0.124305594129135,1,1,0.0301442801724651
"Ndrg3",1.81119610264264e-06,-0.133044901307264,1,1,0.0313029022419727
"Rad51ap2",1.82928198780245e-06,-0.135670044701817,1,1,0.0316154805951897
"Rbm39",1.86493248879701e-06,-0.118250768871139,1,1,0.0322316282038786
"Tmem132a",1.8784520159198e-06,-0.138654163667818,1,1,0.0324652861911419
"Vamp2",1.88104300246666e-06,-0.135328378799284,1,1,0.0325100662116312
"D130043K22Rik",1.90412228366547e-06,-0.139771107411082,1,1,0.0329089454285903
"Slc6a17",1.97161323141424e-06,-0.136026549281574,1,1,0.0340753914785323
"Hsp90b1",2.12162171589523e-06,-0.135706192481176,1,1,0.0366679881158173
"Huwe1",2.17214067166059e-06,-0.132568044015791,1,1,0.03754110722831
"Nbea",2.21440464665502e-06,-0.126498798430818,1,1,0.0382715555081388
"Mical2",2.37005510186198e-06,0.123195631063214,1,1,0.0409616623254807
"Nrgn",2.51138475854654e-06,-0.127385843342616,1,1,0.0434042627819599
"Ubr3",2.59144161896061e-06,-0.136057794777977,1,1,0.0447878855004961
"Herc1",2.61365356213539e-06,-0.121846292333629,1,1,0.045171774514386
"Zmynd8",2.67763171316413e-06,-0.129010811855461,1,1,0.0462775088986156
"B230334C09Rik",2.78384457992338e-06,-0.130724797356822,1,1,0.0481131858748157
"Cacna1a",2.8488640726158e-06,-0.135497789514874,1,1,0.0492369177670189
"Kcnt1",2.87242603628013e-06,-0.1375159243669,1,1,0.0496441391850294
